customer_name,product_name,quantity,amount,status
Jennifer Lopez,Worker,9,570.12,Cancelled
Sherry Morales,Help,4,81.64,Pending
William Jones,Staff,7,584.69,Cancelled
Christine Reese,Current,1,513.71,Pending
Dustin Miller,Any,3,889.84,Completed
Austin White,Security,1,441.36,Pending
Nicholas Collier,American,8,598.64,Cancelled
Elizabeth Evans,Its,5,358.88,Cancelled
Sara Carrillo,Happen,1,587.99,Pending
Adrian Schmidt,Explain,2,686.79,Cancelled
Michelle Irwin,Build,8,395.6,Completed
David Guerra,Body,3,891.65,Cancelled
Stephen Melendez,Rise,3,465.45,Completed
Jeffrey Hess,Perform,7,301.88,Completed
Audrey Hayden,I,7,414.16,Pending
Kyle Jones,Too,8,27.57,Completed
Samuel Hawkins,To,7,999.39,Cancelled
James Adams,Affect,5,805.54,Pending
Christina Shaw,Audience,8,80.8,Pending
Alan Mccoy,Cause,7,104.7,Completed
